,"Country,Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,Continent
0,World,676249597,90021.0,6772084,487.0,648628140,130955.0,20849373,41682,86757.0,868.8,-1,-1,-1,All
1,USA,104488837,3167.0,1136313,14.0,101575749,15424.0,1776775,3383,312088.0,3394.0,1160827663,3467173,334805269,North America
2,India,44683454,91.0,530745,-1.0,44150892,91.0,1817,698,31766.0,377.0,916215668,651354,1406631776,Asia
3,France,39533323,-1.0,164286,-1.0,39287485,4166.0,81552,869,602784.0,2505.0,271490188,4139547,65584518,Europe
4,Germany,37822577,-1.0,166128,-1.0,37430500,2900.0,225949,1281,450894.0,1980.0,122332384,1458359,83883596,Europe
5,Brazil,36868946,727.0,697361,1.0,35953131,-1.0,218454,8318,171202.0,3238.0,63776166,296146,215353593,South America
6,Japan,32744705,32459.0,69477,188.0,21603796,4792.0,11071432,405,260738.0,553.0,92637363,737648,125584838,Asia
7,S. Korea,30257411,14018.0,33596,22.0,29864568,36886.0,359247,313,589470.0,655.0,15804065,307892,51329899,Asia
8,Italy,25488166,-1.0,187272,-1.0,25072909,-1.0,227985,179,422950.0,3108.0,266073786,4415227,60262770,Europe
9,UK,24293752,-1.0,204898,-1.0,24033396,-1.0,55458,146,354664.0,2991.0,522526476,7628357,68497907,Europe
10,Russia,21996744,9410.0,395279,45.0,21379874,5200.0,221591,2300,150863.0,2711.0,273400000,1875095,145805947,Europe
11,Turkey,17042722,-1.0,101492,-1.0,0,0.0,0,-1,199186.0,1186.0,162743369,1902052,85561976,Asia
12,Spain,13740531,-1.0,118712,-1.0,13569497,-1.0,52322,231,294109.0,2541.0,471036328,10082298,46719142,Europe
13,Vietnam,11526566,7.0,43186,-1.0,10614586,5.0,868794,3,116485.0,436.0,85826548,867342,98953541,Asia
14,Australia,11312904,-1.0,18828,-1.0,11260631,-1.0,33445,50,433963.0,722.0,78835048,3024116,26068792,Australia/Oceania
15,Argentina,10037135,-1.0,130421,-1.0,9888127,2774.0,18587,363,218150.0,2835.0,35716069,776264,46010234,South America
16,Taiwan,9668844,22990.0,16687,73.0,9208482,15543.0,443675,-1,404747.0,699.0,30334597,1269836,23888595,Asia
17,Netherlands,8583669,-1.0,22989,-1.0,8550837,768.0,9843,53,498719.0,1336.0,25984435,1509718,17211447,Europe
18,Iran,7564756,93.0,144757,1.0,7337826,57.0,82173,204,87939.0,1683.0,55034937,639771,86022837,Asia
19,Mexico,7381305,-1.0,332393,-1.0,6617146,-1.0,431766,4798,56105.0,2526.0,19356195,147125,131562772,North America
20,Indonesia,6731135,171.0,160832,1.0,6566098,181.0,4205,2771,24114.0,576.0,114158919,408975,279134505,Asia
21,Poland,6383096,121.0,118748,-1.0,5335940,-1.0,928408,696,169134.0,3146.0,38140679,1010623,37739785,Europe
22,Colombia,6357200,-1.0,142544,-1.0,6181431,-1.0,33225,342,123410.0,2767.0,36951507,717327,51512762,South America
23,Austria,5801078,2716.0,21755,-1.0,5741768,2298.0,37555,40,639822.0,2399.0,211273524,23302116,9066710,Europe
24,Greece,5723715,-1.0,35822,-1.0,5672479,-1.0,15414,115,554804.0,3472.0,102228365,9909078,10316637,Europe
25,Portugal,5564254,-1.0,26033,-1.0,5533912,395.0,4309,61,548712.0,2567.0,45915651,4527916,10140570,Europe
26,Ukraine,5373104,-1.0,111063,-1.0,5254808,388.0,7233,-1,124400.0,2571.0,32603805,754855,43192122,Europe
27,Chile,5128130,1473.0,63895,20.0,5059720,2091.0,4515,107,266394.0,3319.0,48189957,2503349,19250195,South America
28,Malaysia,5037995,211.0,36943,-1.0,4990977,272.0,10075,10,151833.0,1113.0,67748589,2041784,33181072,Asia
29,Israel,4788158,76.0,12203,-1.0,4770957,355.0,4998,57,513420.0,1308.0,41373364,4436346,9326000,Asia
